date,home_team,away_team,home_win,runs_scored_diff,runs_allowed_diff,season_run_diff_diff,recent_win_pct_diff,rest_days_diff
2026-04-05,Boston Red Sox,San Diego Padres,0,0.0,-0.5,-0.5,-0.125,0
2026-04-05,New York Yankees,Miami Marlins,0,-0.125,2.5,2.375,0.25,0
2026-04-05,Minnesota Twins,Tampa Bay Rays,0,-0.5,1.25,0.75,0.0,0
2026-04-05,Chicago White Sox,Toronto Blue Jays,1,-0.25,-2.5,-2.75,-0.125,0
2026-04-05,Kansas City Royals,Milwaukee Brewers,0,-2.375,-1.0,-3.375,-0.25,0
2026-04-05,Texas Rangers,Cincinnati Reds,0,1.375,-0.625,0.75,-0.125,0
2026-04-05,Colorado Rockies,Philadelphia Phillies,1,-1.125,0.625,-0.5,-0.375,0
2026-04-05,Athletics,Houston Astros,1,-3.166666666666667,-0.4722222222222223,-3.638888888888889,-0.41666666666666663,0
2026-04-05,San Francisco Giants,New York Mets,0,-2.2222222222222228,-1.7777777777777772,-4.0,-0.22222222222222227,0
2026-04-05,Los Angeles Angels,Seattle Mariners,1,0.33333333333333304,-1.3333333333333335,-1.0,0.0,0
2026-04-05,Arizona Diamondbacks,Atlanta Braves,1,-1.666666666666667,-3.4444444444444446,-5.111111111111111,-0.2222222222222222,0
2026-04-05,Detroit Tigers,St. Louis Cardinals,0,-0.14285714285714324,1.1428571428571428,1.0,-0.14285714285714285,0
2026-04-06,Tampa Bay Rays,Chicago Cubs,1,0.8888888888888893,-1.7777777777777777,-0.8888888888888888,0.0,0
2026-04-06,Cleveland Guardians,Kansas City Royals,0,-1.0222222222222221,1.1777777777777776,0.15555555555555556,0.15555555555555556,0
2026-04-06,Pittsburgh Pirates,San Diego Padres,0,1.4444444444444446,0.5555555555555554,2.0,0.2222222222222222,0
2026-04-06,Miami Marlins,Cincinnati Reds,0,2.555555555555556,-1.2222222222222219,1.3333333333333333,0.0,0
2026-04-06,Washington Nationals,St. Louis Cardinals,1,1.8611111111111107,-2.1805555555555554,-0.3194444444444444,-0.2916666666666667,0
2026-04-06,Boston Red Sox,Milwaukee Brewers,0,-3.3333333333333335,-1.4444444444444446,-4.777777777777778,-0.5555555555555556,0
2026-04-06,Toronto Blue Jays,Los Angeles Dodgers,0,-2.2222222222222223,-0.8888888888888893,-3.111111111111111,-0.33333333333333337,0
2026-04-06,Minnesota Twins,Detroit Tigers,1,0.3472222222222223,-1.1527777777777777,-0.8055555555555556,-0.041666666666666685,0
2026-04-06,Chicago White Sox,Baltimore Orioles,0,0.11111111111111116,-1.7777777777777777,-1.6666666666666665,0.1111111111111111,0
2026-04-06,Texas Rangers,Seattle Mariners,1,0.2999999999999998,-0.6000000000000001,-0.3,0.0444444444444444,0
2026-04-06,Colorado Rockies,Houston Astros,1,-3.6666666666666665,1.7222222222222223,-1.9444444444444444,-0.26666666666666666,0
2026-04-06,Los Angeles Angels,Atlanta Braves,1,-0.8000000000000007,-2.3,-3.1,-0.09999999999999998,0
2026-04-06,San Francisco Giants,Philadelphia Phillies,0,-1.4,-0.4333333333333327,-1.8333333333333335,-0.2555555555555556,0
2026-04-07,Cleveland Guardians,Kansas City Royals,1,-1.1090909090909093,0.8636363636363638,-0.24545454545454543,0.0,0
2026-04-07,Chicago White Sox,Baltimore Orioles,0,0.0,-1.6999999999999993,-1.7,0.0,0
2026-04-07,New York Mets,Arizona Diamondbacks,1,1.4000000000000004,2.0,3.4,0.09999999999999998,0
2026-04-07,Pittsburgh Pirates,San Diego Padres,1,0.7999999999999998,0.0,0.8,0.09999999999999998,0
2026-04-07,Tampa Bay Rays,Chicago Cubs,0,1.0,-1.4000000000000004,-0.4,0.09999999999999998,0
2026-04-07,Miami Marlins,Cincinnati Reds,0,2.1000000000000005,-1.2999999999999998,0.8,-0.09999999999999998,0
2026-04-07,Washington Nationals,St. Louis Cardinals,0,1.9555555555555557,-1.6111111111111107,0.34444444444444444,-0.15555555555555556,0
2026-04-07,Boston Red Sox,Milwaukee Brewers,1,-3.1999999999999997,-1.5,-4.7,-0.6000000000000001,0
2026-04-07,New York Yankees,Athletics,1,0.7777777777777777,3.333333333333333,4.111111111111111,0.4444444444444445,0
2026-04-07,Toronto Blue Jays,Los Angeles Dodgers,0,-3.1999999999999997,-1.9999999999999996,-5.2,-0.4,0
2026-04-07,Minnesota Twins,Detroit Tigers,1,0.7222222222222223,-0.5999999999999996,0.1222222222222222,0.06666666666666671,0
2026-04-07,Texas Rangers,Seattle Mariners,1,0.34545454545454524,-0.42727272727272725,-0.08181818181818182,0.09999999999999998,0
2026-04-07,Colorado Rockies,Houston Astros,1,-3.1,1.7181818181818187,-1.3818181818181818,-0.19999999999999996,0
2026-04-07,Los Angeles Angels,Atlanta Braves,0,-0.3636363636363642,-1.727272727272727,-2.090909090909091,0.0,0
